,reasons,time_occured,time_reported,comments,incident_address
24,Traffic Offense,20:56:31 10/31/22 - 20:56:31 10/31/22,20:56:31,  Traffic stop,N TRIPHAMMER RD; MOBIL; V LANSING ITHACA NY 14850
25,Traffic Offense,20:52:13 10/31/22 - 20:52:13 10/31/22,20:52:13,  Traffic Stop,STATE ROUTE 13 N & CAYUGA HEIGHTS RD; V LANSING ITHACA NY 14850
26,Traffic Offense,20:47:31 10/31/22 - 20:47:31 10/31/22,20:47:31, ,ELMIRA RD & SAND BANK RD; T ITHACA ITHACA NY 14850
27,Parking Problem,20:44:36 10/31/22 - 20:44:36 10/31/22,20:44:36,  Parking problem,EAST SHORE DR; T LANSING; V LANSING; T ITHACA ITHACA NY 14850
28,Traffic Offense,20:36:47 10/31/22 - 20:36:47 10/31/22,20:36:47, ,STATE ROUTE 13 & WILLOW AVE; C ITHACA ITHACA NY 14850
29,Traffic Offense,20:30:38 10/31/22 - 20:30:38 10/31/22,20:30:38,  Traffic Stop,EAST SHORE DR; KOSKINENS REPAIR; T LANSING LANSING NY 14882
30,Traffic Offense,20:18:47 10/31/22 - 20:18:47 10/31/22,20:18:47,  Traffic Stop,RIDGE RD & LANSING GENOA TOWN LINE RD; T LANSING; T GENOA CKF
31,Traffic Offense,20:11:20 10/31/22 - 20:11:20 10/31/22,20:11:20, ,MAIN ST & KIRK RD; T DRYDEN ETNA NY 13062
32,Traffic Offense,20:01:47 10/31/22 - 20:01:47 10/31/22,20:01:47,  Traffic Stop,N TRIPHAMMER RD & WATERWAGON RD; T LANSING ITHACA NY 14850
33,Welfare Check,20:00:11 10/31/22 - 20:03:11 10/31/22,20:00:11, ,BLOCK BUNDY RD; T ITHACA ITHACA NY 14850
34,Traffic Offense,19:53:09 10/31/22 - 19:53:09 10/31/22,19:53:09, ,WARREN RD & UPTOWN RD; V LANSING; T ITHACA ITHACA NY 14850
35,Welfare Check,19:50:28 10/31/22 - 19:52:49 10/31/22,19:50:28,  TCSO assisted NYSP.,MAIN ST; V FREEVILLE FREEVILLE NY 13068
36,Traffic Offense,19:43:52 10/31/22 - 19:43:52 10/31/22,19:43:52, ,N TRIPHAMMER RD & SHARON DR; T LANSING LANSING NY 14882
37,Traffic Offense,19:40:29 10/31/22 - 19:40:29 10/31/22,19:40:29,  Traffic Stop,STATE ROUTE 13 N; ROUTE 13 AT ITHACA HIGH BALL FIELD ITHACA NY 14850
38,Traffic Offense,19:34:21 10/31/22 - 19:34:21 10/31/22,19:34:21,  TCSO conducted traffic stop for VTL Violation.,STATE ROUTE 13 & BROWN RD; V LANSING ITHACA NY 14850
39,Traffic Offense,19:28:40 10/31/22 - 19:28:40 10/31/22,19:28:40, ,N TRIPHAMMER RD & PERUVILLE RD; T LANSING LANSING NY 14882
40,Traffic Offense,19:26:04 10/31/22 - 19:26:04 10/31/22,19:26:04,  Traffic Stop,ELMIRA RD & MAIN ST; T NEWFIELD NEWFIELD NY 14867
41,Traffic Offense,19:21:35 10/31/22 - 19:21:35 10/31/22,19:21:35, ,N TRIPHAMMER RD & CRAFT RD; V LANSING ITHACA NY 14850
42,Traffic Offense,19:19:26 10/31/22 - 19:19:26 10/31/22,19:19:26, ,N TRIPHAMMER RD; MCDONALDS; V LANSING ITHACA NY 14850
43,Welfare Check,19:12:24 10/31/22 - 19:13:45 10/31/22,19:12:24,  Deputy responded to a welfare check.,N TRIPHAMMER RD; ECONO LODGE ITHACA; V LANSING ITHACA NY 14850
44,Traffic Offense,19:08:14 10/31/22 - 19:08:14 10/31/22,19:08:14,  Traffic Stop,ELMIRA RD; LITTLES LAWN EQUIPMENT; T NEWFIELD NEWFIELD NY 14867
45,Special Detail,19:00:22 10/31/22 - 19:00:22 10/31/22,19:00:22, ,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
46,Special Detail,18:39:58 10/31/22 - 18:39:58 10/31/22,18:40:25, ,STATE ROUTE 13 N; ROUTE 13 BRIDGE OVER FALL CREEK ITHACA NY 14850
47,Civil Cmplnt,18:35:44 10/31/22 - 18:36:25 10/31/22,18:35:44,  civil papers served,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
48,Traffic Offense,18:27:12 10/31/22 - 18:27:12 10/31/22,18:27:12,  traffic stop,COLLINS RD & ASBURY RD; T LANSING FREEVILLE NY 13068
49,Pi Accident,17:59:38 10/31/22 - 18:01:55 10/31/22,17:59:38, ,TRUMANSBURG RD & RABBIT RUN RD; T ULYSSES TRUMANSBURG NY 14886
50,Civil Cmplnt,17:51:08 10/31/22 - 17:52:44 10/31/22,17:51:08,  Civil Complaint,BUNDY RD; T ITHACA ITHACA NY 14850
51,Assist,16:57:34 10/31/22 - 16:58:38 10/31/22,16:57:34,  TCSO assisted Citizen.,PURVIS RD & LAKE RD; T DRYDEN DRYDEN NY 13053
52,Assist,16:50:09 10/31/22 - 16:53:04 10/31/22,16:50:09,  Deputy assisted a citizen.,WEST VILLAGE PL UNIT 237; WEST VILLAGE PL; C ITHACA ITHACA NY 14850
53,Assist,16:46:47 10/31/22 - 16:46:47 10/31/22,16:46:59,  Deputy assisted a citizen.,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
54,Theft,16:01:53 10/31/22 - 16:04:19 10/31/22,16:01:53,  Deputy responded to a theft.,CATHERWOOD RD # TARGET; TARGET; V LANSING ITHACA NY 14850
55,Harassment,15:48:30 10/31/22 - 15:51:13 10/31/22,15:48:30, ,DANBY RD; T DANBY ITHACA NY 14850
56,Suspicious,15:38:29 10/31/22 - 15:41:25 10/31/22,15:38:29,  TCSO investigated a suspicious circumstance.,WINTHROP DR; NORTHEAST ELEMENTARY SCHOOL; T ITHACA ITHACA NY 14850
57,Animal Problem,15:31:29 10/31/22 - 15:35:16 10/31/22,15:30:13, ,BONE PLAIN RD # 3; T DRYDEN FREEVILLE NY 13068
58,Traffic Offense,14:15:39 10/31/22 - 14:15:40 10/31/22,14:15:39,  TCSO conducted a traffic stop.,CHERRY ST; ITHACA ARTHAUS; C ITHACA ITHACA NY 14850
59,Traffic Offense,14:15:39 10/31/22 - 14:15:40 10/31/22,14:15:39,  TCSO conducted a traffic stop.,CHERRY ST; ITHACA ARTHAUS; C ITHACA ITHACA NY 14850
60,Traffic Offense,14:15:39 10/31/22 - 14:15:40 10/31/22,14:15:39,  TCSO conducted a traffic stop.,CHERRY ST; ITHACA ARTHAUS; C ITHACA ITHACA NY 14850
61,Traffic Offense,14:15:39 10/31/22 - 14:15:40 10/31/22,14:15:39,  TCSO conducted a traffic stop.,CHERRY ST; ITHACA ARTHAUS; C ITHACA ITHACA NY 14850
62,Theft,13:24:11 10/31/22 - 13:24:11 10/31/22,13:24:15,  Theft.,N TRIPHAMMER RD SUITE 02; ALDI; V LANSING ITHACA NY 14850
63,Theft,13:24:11 10/31/22 - 13:24:11 10/31/22,13:24:15,  Theft.,N TRIPHAMMER RD SUITE 02; ALDI; V LANSING ITHACA NY 14850
64,Harassment,13:12:08 10/31/22 - 13:14:53 10/31/22,13:12:08,  TCSO responded to a reported Harassment.,BROWN RD; T DANBY SPENCER NY 14883
65,Property Cmplnt,13:01:46 10/31/22 - 13:03:35 10/31/22,13:01:46,  Cancelled by NYSP,HORNBROOK RD; T DANBY ITHACA NY 14850
66,Fraud,12:57:44 10/31/22 - 12:59:45 10/31/22,12:57:27,  Fraud,SALEM DR; T ITHACA ITHACA NY 14850
67,Assist,12:10:54 10/31/22 - 12:12:58 10/31/22,12:10:54,  TCSO responded to an assist.,ELM ST EXT; T ITHACA ITHACA NY 14850
68,Domestic,11:32:29 10/31/22 - 11:35:05 10/31/22,11:32:29,  TCSO responded to a dispute.,TRUMBULLS CORNERS RD; T NEWFIELD NEWFIELD NY 14867
69,Traffic Offense,11:17:53 10/31/22 - 11:17:53 10/31/22,11:17:53,  TCSO conducted a traffic stop.,MAIN ST; ZIPPIES CAR WASH; T NEWFIELD NEWFIELD NY 14867
70,Traffic Offense,11:04:02 10/31/22 - 11:04:02 10/31/22,11:04:02,  TCSO initiated a Traffic Stop.,DANBY RD & E MILLER RD; T DANBY ITHACA NY 14850
71,Suspicious,10:27:01 10/31/22 - 10:29:11 10/31/22,10:27:01, ,THORNWOOD DR; COURTYARD ITHACA; V LANSING ITHACA NY 14850
72,Civil Cmplnt,09:50:12 10/31/22 - 09:50:12 10/31/22,09:50:14,  Civil Complaint,MECKLENBURG RD # 2; T ENFIELD TRUMANSBURG NY 14886
73,Theft,09:13:33 10/31/22 - 09:15:27 10/31/22,09:13:33,  Theft.,N TRIPHAMMER RD SUITE 02; ALDI; V LANSING ITHACA NY 14850
74,Unclassified,09:03:28 10/31/22 - 09:03:28 10/31/22,09:03:28,  Deputy Sheriff Background investigation,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
75,Crim Mischief,08:56:24 10/31/22 - 08:58:57 10/31/22,08:55:34,  Assist,MITCHELL ST APARTMENT C; MAPLEWOOD APTS; T ITHACA ITHACA NY 14850
76,Unclassified,08:31:59 10/31/22 - 08:31:59 10/31/22,08:31:59,  Deputy Sheriff background innestigation,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
77,Special Detail,07:50:55 10/31/22 - 07:50:55 10/31/22,07:50:55,  Special Detail.,RIDGE RD; LANSING HIGH SCHOOL; T LANSING LANSING NY 14882
78,Pd Accident,06:47:16 10/31/22 - 06:49:27 10/31/22,06:47:16,  Property damage accident.,TAUGHANNOCK BLVD; T ITHACA ITHACA NY 14850
79,Traffic Offense,05:20:05 10/31/22 - 05:20:05 10/31/22,05:20:05,  Traffic stop.,MECKLENBURG RD & N VAN DORN RD; T ENFIELD ITHACA NY 14850
80,Property Check,04:50:21 10/31/22 - 04:50:21 10/31/22,04:50:21,  Property check.,MECKLENBURG RD; T ENFIELD TRUMANSBURG NY 14886
81,Property Check,04:36:05 10/31/22 - 04:36:05 10/31/22,04:36:05,  Property check,GRAHAM RD; MEADOWS TOWN HOME APTS; V LANSING ITHACA NY 14850
82,Traffic Offense,03:18:31 10/31/22 - 03:18:31 10/31/22,03:18:31,  Traffic stop.,STATE ROUTE 13 & LOWER CREEK RD; T DRYDEN ITHACA NY 14850
83,Unclassified,02:54:43 10/31/22 - 02:54:56 10/31/22,02:54:43,  Unclassified.,ENFIELD MAIN RD; T ENFIELD ITHACA NY 14850
84,Assist,02:53:44 10/31/22 - 02:57:38 10/31/22,02:53:44,  Assist citizen,CATHERWOOD RD; SHOPS AT ITHACA MALL; V LANSING ITHACA NY 14850
85,Special Detail,02:40:15 10/31/22 - 02:40:15 10/31/22,02:40:15,  Property check.,BLOCK DEER RUN RD; T NEWFIELD NEWFIELD NY 14867
86,Traffic Offense,01:56:18 10/31/22 - 01:56:18 10/31/22,01:56:18,  Traffic offense,STATE ROUTE 13 & BROWN RD; V LANSING ITHACA NY 14850
87,Property Check,01:54:46 10/31/22 - 01:54:46 10/31/22,01:54:46,  Property check.,DRYDEN RD # ANTLERS; ANTLERS RESTAURANT; T DRYDEN ITHACA NY 14850
88,Animal Problem,01:52:31 10/31/22 - 01:53:20 10/31/22,01:52:31,  Animal problem.,ELMIRA RD & MAIN ST; T NEWFIELD NEWFIELD NY 14867
89,Traffic Offense,01:34:23 10/31/22 - 01:34:23 10/31/22,01:34:23,  Traffic stop.,ELMIRA RD & MAIN ST; T NEWFIELD NEWFIELD NY 14867
90,Property Check,01:19:24 10/31/22 - 01:19:24 10/31/22,01:19:24,  Property check.,SHELDON RD; T DRYDEN FREEVILLE NY 13068
91,Property Check,01:09:04 10/31/22 - 01:09:04 10/31/22,01:09:04,  Property check.,ETNA RD; T DRYDEN ITHACA NY 14850
92,Property Check,00:01:11 10/31/22 - 00:01:11 10/31/22,00:01:11,  Property check,WOODSEDGE DR; IMR TEST LABS; T LANSING LANSING NY 14882
93,Pi Accident,23:42:24 10/30/22 - 23:48:31 10/30/22,23:42:24,  PI Accident,VIRGIL RD & BRADSHAW RD; T DRYDEN DRYDEN NY 13053
94,Dispute,22:08:10 10/30/22 - 22:11:59 10/30/22,22:08:10, ,ELMIRA RD & TRUMBULLS CORNERS RD; T NEWFIELD NEWFIELD NY 14867
95,Traffic Offense,21:55:01 10/30/22 - 21:55:01 10/30/22,21:55:01,  traffic stop,MYERS RD & LEROY AVE; T LANSING LANSING NY 14882
96,Dispute,21:32:45 10/30/22 - 22:08:06 10/30/22,21:32:45,  Dispute.,W SENECA RD LOT 92; AUBLES MOBILE HOME PARK TBURG; TRUM TRUMANSBURG NY 14886
97,Welfare Check,21:24:01 10/30/22 - 21:27:25 10/30/22,21:23:06,  Deputy responded to a check the welfare.,SLATERVILLE RD; T CAROLINE BROOKTONDALE NY 14817
98,Assault,21:22:45 10/30/22 - 21:26:22 10/30/22,21:22:45,  Deputy responded to an assault.,SOUTH ST; V DRYDEN DRYDEN NY 13053
99,Traffic Offense,21:20:41 10/30/22 - 21:20:41 10/30/22,21:20:41,  Traffic Stop,ELMIRA RD & BULL HILL RD; T NEWFIELD NEWFIELD NY 14867
100,Dispute,21:15:25 10/30/22 - 21:19:15 10/30/22,21:15:25,  Deputy responded to a dispute.,RIDGE RD; T LANSING LANSING NY 14882
101,Traffic Offense,21:00:37 10/30/22 - 21:00:37 10/30/22,21:00:37,  Traffic Stop,ELMIRA RD & BULL HILL RD; T NEWFIELD NEWFIELD NY 14867
102,Traffic Offense,20:40:28 10/30/22 - 20:40:28 10/30/22,20:40:28,  Traffic Stop,ELMIRA RD & MAZOUREK RD; T NEWFIELD NEWFIELD NY 14867
103,Assist,20:31:47 10/30/22 - 20:34:09 10/30/22,20:31:47,  Deputy responded to an assist.,CODDINGTON RD; SOUTH HILL CEMETERY; T ITHACA ITHACA NY 14850
104,Traffic Offense,20:28:32 10/30/22 - 20:28:32 10/30/22,20:28:32,  Traffic Stop,ELMIRA RD & BULL HILL RD; T NEWFIELD NEWFIELD NY 14867
105,Civil Cmplnt,19:34:13 10/30/22 - 19:34:27 10/30/22,19:34:13,  Civil Process Served.,HERON DR; T ENFIELD ITHACA NY 14850
106,Pd Accident,19:27:36 10/30/22 - 19:33:16 10/30/22,19:27:36,  Deputy responded to a two car property damage accident.,FALL CREEK RD & RAILROAD ST; V FREEVILLE FREEVILLE NY 13068
107,Trespassing,19:26:59 10/30/22 - 19:30:57 10/30/22,19:26:59,  Deputy assisted the NYSP.,BONE PLAIN RD LOT 6; T DRYDEN FREEVILLE NY 13068
108,Disorderly Cond,19:11:57 10/30/22 - 19:15:10 10/30/22,19:11:57,  Deputy responded to a disorderly conduct.,N TRIPHAMMER RD # TOPS; TOPS FRIENDLY MARKETS; V LANSIN ITHACA NY 14850
109,Assist,19:05:14 10/30/22 - 19:08:36 10/30/22,19:05:14,  Assist,BROWN RD; DEPT OF EMERGENCY RESPONSE; V LANSING ITHACA NY 14850
110,Pi Accident,18:54:57 10/30/22 - 18:56:32 10/30/22,18:54:57,  Deputy responded to a personal injury accident.,RIDGE RD # BUS; LANSING SCHOOL BUS GARAGE; T LANSING LANSING NY 14882
111,Pd Accident,18:52:36 10/30/22 - 18:54:07 10/30/22,18:52:36,  Property Damage Accident.,MECKLENBURG RD & SHEFFIELD RD; T ITHACA; T ENFIELD ITHACA NY 14850
112,Trespassing,18:31:25 10/30/22 - 18:34:34 10/30/22,18:31:25,  Deputy responded to a trespassing.,GRAHAM RD # 3C5; UNIVERSITY HEIGHTS APTS; V LANSING ITHACA NY 14850
113,Traffic Offense,18:26:54 10/30/22 - 18:26:54 10/30/22,18:26:54,  traffic stop,EAST SHORE DR & CAYUGA VISTA DR; T LANSING LANSING NY 14882
114,Property Check,17:58:13 10/30/22 - 17:58:13 10/30/22,17:58:13,  Deputy conducted a property check.,WOODSEDGE DR; IMR TEST LABS; T LANSING LANSING NY 14882
115,Domestic,17:14:42 10/30/22 - 17:17:30 10/30/22,17:14:42,  Physical Domestic.,W SENECA RD LOT 92; AUBLES MOBILE HOME PARK TBURG; TRUM TRUMANSBURG NY 14886
116,Traffic Cmplnt,17:11:02 10/30/22 - 17:12:20 10/30/22,17:11:02,  traffic complaint,PINCKNEY RD & DRYDEN RD; T DRYDEN ITHACA NY 14850
117,Trespassing,16:19:03 10/30/22 - 16:21:01 10/30/22,16:19:03,  Deputy responded to a trespass complaint and made an arrest.,BONE PLAIN RD LOT 6; T DRYDEN FREEVILLE NY 13068
118,Trespassing,16:19:03 10/30/22 - 16:21:01 10/30/22,16:19:03,  Deputy responded to a trespass complaint and made an arrest.,BONE PLAIN RD LOT 6; T DRYDEN FREEVILLE NY 13068
119,Pi Accident,16:17:05 10/30/22 - 16:19:31 10/30/22,16:17:05,  Personal Injury Accident.,HALSEYVILLE RD & PERRY CITY RD; T ULYSSES TRUMANSBURG NY 14886
120,Traffic Cmplnt,15:15:13 10/30/22 - 15:16:03 10/30/22,15:15:13,  Traffic complaint.,SALT RD & CORTLAND RD; T GROTON GROTON NY 13073
121,Pd Accident,15:15:04 10/30/22 - 15:17:45 10/30/22,15:15:04,  Deputy responded to a property damage accident.,CHIPMAN CORNERS RD; T GROTON GROTON NY 13073
122,Assist,14:29:19 10/30/22 - 14:32:04 10/30/22,14:29:19,  Deputy responded to an assist.,LAKE RD; T DRYDEN DRYDEN NY 13053
123,Information,14:18:12 10/30/22 - 14:22:47 10/30/22,14:18:12,  Information.,WARREN RD; TOMPKINS COUNTY SHERIFF; V LANSING ITHACA NY 14850
124,Traffic Cmplnt,13:26:18 10/30/22 - 13:31:37 10/30/22,13:26:18,  Traffic complaint,BLOCK EAST SHORE DR; T ITHACA ITHACA NY 14850
125,Dispute,11:39:16 10/30/22 - 11:40:12 10/30/22,11:39:16,  TCSO assisted NYSP.,N TRIPHAMMER RD; ECONO LODGE ITHACA; V LANSING ITHACA NY 14850
126,Information,10:55:21 10/30/22 - 10:57:50 10/30/22,10:55:21,  Information Report,DANDYVIEW HTS; T LANSING LANSING NY 14882
127,Dispute,10:21:58 10/30/22 - 10:25:44 10/30/22,10:21:58,  Deputies responded to a dispute.,BLOCK W DANBY RD; T NEWFIELD NEWFIELD NY 14867
128,Assist,10:11:47 10/30/22 - 10:13:42 10/30/22,10:11:47,  TCSO assisted a Citizen.,MAIN ST; T DRYDEN FREEVILLE NY 13068
129,Unclassified,09:51:11 10/30/22 - 09:53:46 10/30/22,09:51:11,  TCSO responded to an unclassified complaint.,SHAFFER RD; T NEWFIELD NEWFIELD NY 14867
130,Traffic Offense,09:16:42 10/30/22 - 09:16:43 10/30/22,09:16:42,  Traffic Stop,RIDGE RD & ALGERINE RD; T LANSING LANSING NY 14882
131,Traffic Offense,09:11:46 10/30/22 - 09:11:46 10/30/22,09:11:46,  TCSO conducted a traffic stop.,W STATE ST & W SENECA ST; C ITHACA ITHACA NY 14850
132,Traffic Offense,09:01:00 10/30/22 - 09:01:00 10/30/22,09:01:00,  Traffic Stop,RIDGE RD & MILLIKEN DR; T LANSING LANSING NY 14882
133,Traffic Offense,08:48:04 10/30/22 - 08:48:04 10/30/22,08:48:04,  Traffic Stop,RIDGE RD & ROSS RD; T LANSING LANSING NY 14882
134,Property Check,08:17:40 10/30/22 - 08:17:40 10/30/22,08:17:40,  Property Check,ROBINS WAY; T LANSING LANSING NY 14882
135,Traffic Offense,08:01:00 10/30/22 - 08:01:00 10/30/22,08:01:00,  Traffic Stop,BLOCK EAST SHORE DR; V LANSING ITHACA NY 14850
136,Traffic Offense,06:57:03 10/30/22 - 06:57:03 10/30/22,06:57:03,  Traffic Stop,WARREN RD; BORG WARNER AUTOMOTIVE; V LANSING ITHACA NY 14850
137,Traffic Offense,06:49:29 10/30/22 - 06:49:29 10/30/22,06:49:29,  Traffic Stop,WARREN RD & DART DR; V LANSING ITHACA NY 14850
138,Traffic Offense,06:04:34 10/30/22 - 06:04:34 10/30/22,06:04:34,  Traffic stop.,FREEVILLE RD # HS; DRYDEN HIGH SCHOOL; T DRYDEN DRYDEN NY 13053
139,Traffic Offense,04:57:13 10/30/22 - 04:57:13 10/30/22,04:57:13,  Traffic Stop,LICK ST & STEVENS RD; T GROTON FREEVILLE NY 13068
140,Property Check,04:45:00 10/30/22 - 04:45:00 10/30/22,04:45:00,  Property Check,PERUVILLE RD; T DRYDEN GROTON NY 13073
141,Property Check,04:22:11 10/30/22 - 04:22:11 10/30/22,04:22:11,  Property Check,GRAHAM RD; MEADOWS TOWN HOME APTS; V LANSING ITHACA NY 14850
142,Structure Fire,04:11:49 10/30/22 - 04:12:54 10/30/22,04:11:49,  Assist IPD with fire investigation.,BLAIR ST; C ITHACA ITHACA NY 14850
143,Traffic Offense,03:51:01 10/30/22 - 03:51:01 10/30/22,03:51:01,  Traffic Stop,DRYDEN RD & MINEAH RD; T DRYDEN FREEVILLE NY 13068
144,Traffic Offense,03:04:32 10/30/22 - 03:04:32 10/30/22,03:04:32,  Traffic Stop,STATE ROUTE 13 N & N TRIPHAMMER RD; V LANSING ITHACA NY 14850
145,Domestic,03:03:34 10/30/22 - **:**:** **/**/**,03:03:34,  Verbal Domestic.,ELLIS HOLLOW RD; BEST WESTERN; T ITHACA ITHACA NY 14850
146,Traffic Offense,02:51:31 10/30/22 - 02:51:31 10/30/22,02:51:31,  Traffic Stop,STATE ROUTE 13 S & EAST SHORE DR; T ITHACA ITHACA NY 14850
147,Traffic Offense,02:46:04 10/30/22 - 02:46:04 10/30/22,02:46:04,  Traffic Stop,EAST SHORE DR; LAKE WATCH INN; V LANSING ITHACA NY 14850
148,Traffic Offense,02:45:29 10/30/22 - 02:45:29 10/30/22,02:45:29,  Traffic stop.,HANSHAW RD; CARSON RENTAL SUPPLY; T DRYDEN ITHACA NY 14850
149,Traffic Offense,02:45:29 10/30/22 - 02:45:29 10/30/22,02:45:29,  Traffic stop.,HANSHAW RD; CARSON RENTAL SUPPLY; T DRYDEN ITHACA NY 14850
150,Traffic Offense,02:37:46 10/30/22 - 02:37:46 10/30/22,02:37:46,  Traffic Offense.,ELMIRA RD & SEVEN MILE DR; T ITHACA ITHACA NY 14850
151,Traffic Offense,02:27:54 10/30/22 - 02:27:54 10/30/22,02:27:54,  Traffic Stop,STATE ROUTE 13 S & EAST SHORE DR; T ITHACA ITHACA NY 14850
152,Property Check,02:15:52 10/30/22 - 02:15:52 10/30/22,02:15:52,  Property Check.,BLOCK DEER RUN RD; T NEWFIELD NEWFIELD NY 14867
153,Traffic Offense,02:10:10 10/30/22 - 02:10:10 10/30/22,02:10:10,  Traffic Stop,N TRIPHAMMER RD & SPRUCE LN; CAYUGA HEIGHTS ITHACA NY 14850
154,Property Check,02:00:24 10/30/22 - 02:00:24 10/30/22,02:00:24,  Property Check.,ELMIRA RD; MIDSTATE BASEMENT; T NEWFIELD NEWFIELD NY 14867
155,Traffic Offense,01:56:01 10/30/22 - 01:56:01 10/30/22,01:56:01,  Traffic Stop,STATE ROUTE 13 N; ROUTE 13 AT ITHACA HIGH BALL FIELD ITHACA NY 14850
156,Traffic Offense,01:45:21 10/30/22 - 01:45:21 10/30/22,01:45:21,  Traffic Stop,EAST SHORE DR & AUBURN RD; T LANSING LANSING NY 14882
157,Assist,01:16:14 10/30/22 - 01:21:18 10/30/22,01:16:14,  EMS assist,DRYDEN RD UNIT G; IVY RIDGE; T DRYDEN ITHACA NY 14850
158,Traffic Offense,01:09:22 10/30/22 - 01:09:22 10/30/22,01:09:22,  Traffic Stop,WARREN RD & DART DR; V LANSING ITHACA NY 14850
159,Assist,00:56:51 10/30/22 - 00:56:51 10/30/22,00:56:52,  Assist Citizen.,PROSPECT ST & S AURORA ST; C ITHACA ITHACA NY 14850
