,reasons,time_occured,time_reported,comments,incident_address,lat,long,time_started,time_ended,reasons_processed,month,hour,time_processed,seconds_since
12,Traffic Offense,19:00:42 07/28/21 - 19:00:42 07/28/21,19:00:42,  Deputy conducted a traffic stop and made an arrest.,FAIRGROUNDS MEMORIAL PKWY; WALMART; C ITHACA ITHACA NY 14850,42.4301747,-76.5112134,2021-07-28 19:00:42,2021-07-28 19:00:42,Traffic Offense,7,19,19:00:42,68442
13,Traffic Offense,18:38:20 07/28/21 - 18:38:20 07/28/21,18:38:20,  Traffic stop.,DANBY RD & BALD HILL RD; T DANBY ITHACA NY 14850,42.35245270000001,-76.48089569999999,2021-07-28 18:38:20,2021-07-28 18:38:20,Traffic Offense,7,18,18:38:20,67100
14,Traffic Offense,18:08:09 07/28/21 - 18:08:09 07/28/21,18:08:09,  Traffic stop.,DANBY RD & BALD HILL RD; T DANBY ITHACA NY 14850,42.35245270000001,-76.48089569999999,2021-07-28 18:08:09,2021-07-28 18:08:09,Traffic Offense,7,18,18:08:09,65289
15,Traffic Cmplnt,14:43:48 07/28/21 - 14:45:27 07/28/21,14:43:48,  Traffic complaint.,STATE ROUTE 13 S & WARREN RD; V LANSING ITHACA NY 14850,42.4823694,-76.467225,2021-07-28 14:43:48,2021-07-28 14:45:27,Traffic Complaint,7,14,14:43:48,53028
16,Traffic Offense,12:37:38 07/28/21 - 12:37:38 07/28/21,12:37:38,  Traffic stop.,EAST SHORE DR; THE RINK; T LANSING ITHACA NY 14850,42.4976514,-76.5098286,2021-07-28 12:37:38,2021-07-28 12:37:38,Traffic Offense,7,12,12:37:38,45458
17,Traffic Offense,12:18:23 07/28/21 - 12:18:23 07/28/21,12:18:23,  Traffic stop.,WARREN RD & DART DR; V LANSING ITHACA NY 14850,42.4834027,-76.4673571,2021-07-28 12:18:23,2021-07-28 12:18:23,Traffic Offense,7,12,12:18:23,44303
18,Traffic Offense,11:07:58 07/28/21 - 11:07:58 07/28/21,11:07:58,  Traffic stop.,N TRIPHAMMER RD EXIT RAMP & N TRIPHAMMER RD; V LANSING ITHACA NY 14850,42.5054774,-76.490818,2021-07-28 11:07:58,2021-07-28 11:07:58,Traffic Offense,7,11,11:07:58,40078
19,Traffic Cmplnt,10:43:04 07/28/21 - 10:43:46 07/28/21,10:43:04,  Traffic complaint.,STATE ROUTE 13 S; ROUTE 13 AT STEWART PARK; T ITHACA ITHACA NY 14850,42.3964701,-76.5460386,2021-07-28 10:43:04,2021-07-28 10:43:46,Traffic Complaint,7,10,10:43:04,38584
20,Traffic Offense,10:35:58 07/28/21 - 10:35:58 07/28/21,10:35:58,  Traffic stop.,PERU RD & PERUVILLE RD; T GROTON GROTON NY 13073,42.5482062,-76.3616439,2021-07-28 10:35:58,2021-07-28 10:35:58,Traffic Offense,7,10,10:35:58,38158
21,Traffic Offense,08:29:18 07/28/21 - 08:29:18 07/28/21,08:29:18,  Traffic stop.,TRIPHAMMER TER & N TRIPHAMMER RD; T LANSING ITHACA NY 14850,42.5161329,-76.49128240000002,2021-07-28 08:29:18,2021-07-28 08:29:18,Traffic Offense,7,8,08:29:18,30558
22,Traffic Cmplnt,07:06:49 07/28/21 - 07:11:44 07/28/21,07:06:49,  Deputy responded to a Traffic Complaint.,WEST DRYDEN RD & CASWELL RD; T DRYDEN FREEVILLE NY 13068,42.5181806,-76.3754441,2021-07-28 07:06:49,2021-07-28 07:11:44,Traffic Complaint,7,7,07:06:49,25609
23,Traffic Offense,00:42:06 07/28/21 - 00:42:06 07/28/21,00:42:06,  Assist Dryden PD.,DRYDEN RD & GEORGE RD; T DRYDEN DRYDEN NY 13053,42.48963740000001,-76.3282852,2021-07-28 00:42:06,2021-07-28 00:42:06,Traffic Offense,7,0,00:42:06,2526
24,Traffic Offense,21:59:58 07/27/21 - 21:59:58 07/27/21,21:59:58,  Traffic stop.,TRUMANSBURG RD & JACKSONVILLE RD; T ULYSSES TRUMANSBURG NY 14886,42.5083448,-76.614679,2021-07-27 21:59:58,2021-07-27 21:59:58,Traffic Offense,7,21,21:59:58,79198
25,Traffic Offense,21:25:26 07/27/21 - 21:25:26 07/27/21,21:25:26,  Traffic stop.,TRUMANSBURG RD & COLD SPRINGS RD; T ULYSSES TRUMANSBURG NY 14886,42.514629,-76.6222109,2021-07-27 21:25:26,2021-07-27 21:25:26,Traffic Offense,7,21,21:25:26,77126
26,Traffic Offense,20:58:11 07/27/21 - 20:58:11 07/27/21,20:58:11,  Deputy conducted a traffic stop.,STATE ROUTE 13 & WILLOW AVE; C ITHACA ITHACA NY 14850,42.45160389999999,-76.5034177,2021-07-27 20:58:11,2021-07-27 20:58:11,Traffic Offense,7,20,20:58:11,75491
27,Traffic Offense,18:50:35 07/27/21 - 18:50:35 07/27/21,18:50:35,  Deputy conducted a traffic stop.,CHERRY RD & N TRIPHAMMER RD; V LANSING ITHACA NY 14850,42.5054774,-76.490818,2021-07-27 18:50:35,2021-07-27 18:50:35,Traffic Offense,7,18,18:50:35,67835
28,Traffic Cmplnt,17:24:09 07/27/21 - 17:25:17 07/27/21,17:24:09,  Deputy responded to a traffic complaint.,W GROTON RD & COBB ST; T GROTON GROTON NY 13073,42.6042203,-76.4449616,2021-07-27 17:24:09,2021-07-27 17:25:17,Traffic Complaint,7,17,17:24:09,62649
29,Traffic Offense,15:50:05 07/27/21 - 15:50:05 07/27/21,15:50:05,  Traffic stop.,DANBY RD & SESAME ST; T ITHACA ITHACA NY 14850,42.4036794,-76.5019322,2021-07-27 15:50:05,2021-07-27 15:50:05,Traffic Offense,7,15,15:50:05,57005
30,Traffic Offense,12:43:30 07/27/21 - 12:43:30 07/27/21,12:43:30,  Traffic stop.,BLOCK HILLCREST RD; T LANSING ITHACA NY 14850,42.5126328,-76.4811713,2021-07-27 12:43:30,2021-07-27 12:43:30,Traffic Offense,7,12,12:43:30,45810
31,Traffic Cmplnt,06:14:47 07/27/21 - 06:16:44 07/27/21,06:14:47,  Assist.,MAPLEWOOD RD & TAUGHANNOCK BLVD; T ULYSSES ITHACA NY 14850,42.5097649,-76.5472915,2021-07-27 06:14:47,2021-07-27 06:16:44,Traffic Complaint,7,6,06:14:47,22487
32,Traffic Offense,19:26:04 07/25/21 - 19:26:04 07/25/21,19:26:04,  Deputy conducted a traffic stop and made an arrest.,ELMIRA RD & BREWERY LN; T ITHACA ITHACA NY 14850,42.41367959999999,-76.53341759999999,2021-07-25 19:26:04,2021-07-25 19:26:04,Traffic Offense,7,19,19:26:04,69964
33,Traffic Offense,19:26:04 07/25/21 - 19:26:04 07/25/21,19:26:04,  Deputy conducted a traffic stop and made an arrest.,ELMIRA RD & BREWERY LN; T ITHACA ITHACA NY 14850,42.41367959999999,-76.53341759999999,2021-07-25 19:26:04,2021-07-25 19:26:04,Traffic Offense,7,19,19:26:04,69964
34,Traffic Offense,19:26:04 07/25/21 - 19:26:04 07/25/21,19:26:04,  Deputy conducted a traffic stop and made an arrest.,ELMIRA RD & BREWERY LN; T ITHACA ITHACA NY 14850,42.41367959999999,-76.53341759999999,2021-07-25 19:26:04,2021-07-25 19:26:04,Traffic Offense,7,19,19:26:04,69964
35,Traffic Offense,22:43:23 07/24/21 - 22:43:23 07/24/21,22:43:23,  Traffic stop.,STATE ROUTE 13 & SAPSUCKER WOODS RD; V LANSING ITHACA NY 14850,42.482845,-76.4548329,2021-07-24 22:43:23,2021-07-24 22:43:23,Traffic Offense,7,22,22:43:23,81803
36,Traffic Cmplnt,22:22:09 07/24/21 - 22:22:09 07/24/21,22:22:11,  Deputy responded to a traffic complaint.,MECKLENBURG RD; T ITHACA ITHACA NY 14850,42.451756,-76.6057896,2021-07-24 22:22:09,2021-07-24 22:22:09,Traffic Complaint,7,22,22:22:09,80529
37,Traffic Offense,21:39:02 07/24/21 - 21:39:02 07/24/21,21:39:02,  Deputy conducted a traffic stop.,FIVE MILE DR & BOSTWICK RD; T ITHACA ITHACA NY 14850,42.4224419,-76.5291647,2021-07-24 21:39:02,2021-07-24 21:39:02,Traffic Offense,7,21,21:39:02,77942
38,Traffic Cmplnt,19:36:12 07/24/21 - **:**:** **/**/**,19:35:54,  Traffic complaint.,ELMIRA RD & ENFIELD FALLS RD; T ITHACA ITHACA NY 14850,42.4041478,-76.5461474,2021-07-24 19:36:12,,Traffic Complaint,7,19,19:36:12,70572
39,Traffic Cmplnt,19:05:33 07/24/21 - 19:06:16 07/24/21,19:05:33,  Deputy responded to a traffic complaint.,ELMIRA RD; T NEWFIELD NEWFIELD NY 14867,42.3545699,-76.605648,2021-07-24 19:05:33,2021-07-24 19:06:16,Traffic Complaint,7,19,19:05:33,68733
40,Traffic Offense,17:45:09 07/24/21 - 17:45:09 07/24/21,17:45:09,  Deputy conducted a traffic stop and made an arrest.,BOSTWICK RD & SEVEN MILE DR; T ITHACA ITHACA NY 14850,42.42245,-76.5378159,2021-07-24 17:45:09,2021-07-24 17:45:09,Traffic Offense,7,17,17:45:09,63909
41,Traffic Offense,17:45:09 07/24/21 - 17:45:09 07/24/21,17:45:09,  Deputy conducted a traffic stop and made an arrest.,BOSTWICK RD & SEVEN MILE DR; T ITHACA ITHACA NY 14850,42.42245,-76.5378159,2021-07-24 17:45:09,2021-07-24 17:45:09,Traffic Offense,7,17,17:45:09,63909
42,Traffic Offense,22:59:41 07/23/21 - 22:59:41 07/23/21,22:59:41,  Traffic stop.,WARREN RD & VILLAGE CIR; T LANSING ITHACA NY 14850,42.511404,-76.4719707,2021-07-23 22:59:41,2021-07-23 22:59:41,Traffic Offense,7,22,22:59:41,82781
43,Traffic Offense,22:15:45 07/23/21 - 22:15:45 07/23/21,22:15:45,  Traffic stop.,TRUMANSBURG RD & COLEGROVE RD; T ULYSSES TRUMANSBURG NY 14886,42.5050839,-76.6103009,2021-07-23 22:15:45,2021-07-23 22:15:45,Traffic Offense,7,22,22:15:45,80145
44,Traffic Offense,21:41:37 07/23/21 - 21:41:37 07/23/21,21:41:37,  Traffic stop.,WARREN RD & BOMAX DR; V LANSING ITHACA NY 14850,42.490079,-76.467666,2021-07-23 21:41:37,2021-07-23 21:41:37,Traffic Offense,7,21,21:41:37,78097
45,Traffic Offense,19:26:15 07/23/21 - 19:26:15 07/23/21,19:26:15,  Traffic stop.,TRUMANSBURG RD & TAUGHANNOCK PARK RD; T ULYSSES TRUMANSBURG NY 14886,42.5302189,-76.63724100000002,2021-07-23 19:26:15,2021-07-23 19:26:15,Traffic Offense,7,19,19:26:15,69975
46,Traffic Offense,19:06:28 07/23/21 - 19:06:28 07/23/21,19:06:28,  Traffic stop.,TRUMANSBURG RD & AGARD RD; T ULYSSES TRUMANSBURG NY 14886,42.5241936,-76.6327385,2021-07-23 19:06:28,2021-07-23 19:06:28,Traffic Offense,7,19,19:06:28,68788
47,Traffic Offense,18:23:58 07/23/21 - 18:23:58 07/23/21,18:23:58,  Cancelled en route.,IRADELL RD & N VAN DORN RD; T ENFIELD ITHACA NY 14850,42.4806491,-76.6236704,2021-07-23 18:23:58,2021-07-23 18:23:58,Traffic Offense,7,18,18:23:58,66238
48,Traffic Offense,17:37:41 07/23/21 - 17:37:41 07/23/21,17:37:41,  Traffic stop.,FALLS RD & CEMETERY ST; T ULYSSES; TRUMANSBURG TRUMANSBURG NY 14886,42.537957,-76.6471349,2021-07-23 17:37:41,2021-07-23 17:37:41,Traffic Offense,7,17,17:37:41,63461
49,Traffic Offense,16:59:25 07/23/21 - 16:59:25 07/23/21,16:59:25,  Traffic stop.,ELMIRA RD & SEVEN MILE DR; T ITHACA ITHACA NY 14850,42.4084385,-76.5416492,2021-07-23 16:59:25,2021-07-23 16:59:25,Traffic Offense,7,16,16:59:25,61165
50,Traffic Offense,16:59:25 07/23/21 - 16:59:25 07/23/21,16:59:25,  Traffic stop.,ELMIRA RD & SEVEN MILE DR; T ITHACA ITHACA NY 14850,42.4084385,-76.5416492,2021-07-23 16:59:25,2021-07-23 16:59:25,Traffic Offense,7,16,16:59:25,61165
51,Traffic Cmplnt,16:35:28 07/23/21 - 16:36:53 07/23/21,16:35:28,  Traffic complaint.,TRUMANSBURG RD & JACKSONVILLE RD; T ULYSSES TRUMANSBURG NY 14886,42.5083448,-76.614679,2021-07-23 16:35:28,2021-07-23 16:36:53,Traffic Complaint,7,16,16:35:28,59728
52,Traffic Cmplnt,16:08:05 07/23/21 - 16:08:35 07/23/21,16:08:05,  Traffic Compliant.,STATE ROUTE 13 S & WARREN RD; V LANSING ITHACA NY 14850,42.4823694,-76.467225,2021-07-23 16:08:05,2021-07-23 16:08:35,Traffic Complaint,7,16,16:08:05,58085
53,Traffic Cmplnt,10:55:14 07/23/21 - 10:57:09 07/23/21,10:55:14,  Traffic complaint,ELM ST EXT; T ITHACA; C ITHACA ITHACA NY 14850,42.435898,-76.5396943,2021-07-23 10:55:14,2021-07-23 10:57:09,Traffic Complaint,7,10,10:55:14,39314
54,Traffic Cmplnt,19:45:23 07/22/21 - 19:48:02 07/22/21,19:45:23,  Traffic complaint.,BLOCK SALMON CREEK RD; T LANSING LANSING NY 14882,42.5896466,-76.5325412,2021-07-22 19:45:23,2021-07-22 19:48:02,Traffic Complaint,7,19,19:45:23,71123
55,Traffic Offense,22:14:55 07/21/21 - 22:14:55 07/21/21,22:14:55,  Traffic Stop.,DRYDEN RD; NYSEG; T DRYDEN ITHACA NY 14850,42.4649959,-76.4160503,2021-07-21 22:14:55,2021-07-21 22:14:55,Traffic Offense,7,22,22:14:55,80095
56,Traffic Offense,17:49:44 07/21/21 - 17:49:44 07/21/21,17:49:44,  Traffic stop.,CASWELL RD & SUNDOWN RD; T DRYDEN FREEVILLE NY 13068,42.5270719,-76.3759044,2021-07-21 17:49:44,2021-07-21 17:49:44,Traffic Offense,7,17,17:49:44,64184
57,Traffic Offense,11:08:48 07/21/21 - 11:08:48 07/21/21,11:08:48,  Traffic stop.,STEVENS RD & SALT RD; T GROTON FREEVILLE NY 13068,42.5636847,-76.3232779,2021-07-21 11:08:48,2021-07-21 11:08:48,Traffic Offense,7,11,11:08:48,40128
58,Traffic Offense,10:26:30 07/21/21 - 10:26:30 07/21/21,10:26:30,  Traffic stop.,N TRIPHAMMER RD; TRIPHAMMER MARKETPLACE; V LANSING ITHACA NY 14850,42.5054774,-76.490818,2021-07-21 10:26:30,2021-07-21 10:26:30,Traffic Offense,7,10,10:26:30,37590
59,Traffic Offense,10:17:11 07/21/21 - 10:17:11 07/21/21,10:17:11,  Traffic stop.,STATE ROUTE 13 & SAPSUCKER WOODS RD; V LANSING ITHACA NY 14850,42.482845,-76.4548329,2021-07-21 10:17:11,2021-07-21 10:17:11,Traffic Offense,7,10,10:17:11,37031
60,Traffic Cmplnt,22:18:08 07/20/21 - 22:18:08 07/20/21,22:18:11,  Traffic complaint.,N TRIPHAMMER RD; T LANSING; V LANSING; CAYUGA HEIGHTS ITHACA NY 14850,42.5054774,-76.490818,2021-07-20 22:18:08,2021-07-20 22:18:08,Traffic Complaint,7,22,22:18:08,80288
61,Traffic Offense,22:13:47 07/20/21 - 22:13:47 07/20/21,22:13:47,  Traffic stop.,BRICKYARD RD & BUCK RD; T LANSING LANSING NY 14882,42.5438649,-76.525206,2021-07-20 22:13:47,2021-07-20 22:13:47,Traffic Offense,7,22,22:13:47,80027
62,Traffic Cmplnt,20:46:47 07/20/21 - 20:47:22 07/20/21,20:46:47,  Deputy responded to a traffic complaint.,ELMIRA RD & FIVE MILE DR; T ITHACA ITHACA NY 14850,42.41444750000001,-76.53140669999999,2021-07-20 20:46:47,2021-07-20 20:47:22,Traffic Complaint,7,20,20:46:47,74807
63,Traffic Offense,17:54:01 07/20/21 - 17:54:01 07/20/21,17:54:01,  Traffic stop.,DANBY RD & GUNDERMAN RD; T DANBY ITHACA NY 14850,42.3581911,-76.48326879999999,2021-07-20 17:54:01,2021-07-20 17:54:01,Traffic Offense,7,17,17:54:01,64441
64,Traffic Offense,17:49:25 07/20/21 - 17:49:25 07/20/21,17:49:25,  Traffic stop.,DRYDEN RD; VETERANS OF FOREIGN WARS; T DRYDEN DRYDEN NY 13053,42.4561233,-76.2800928,2021-07-20 17:49:25,2021-07-20 17:49:25,Traffic Offense,7,17,17:49:25,64165
65,Traffic Cmplnt,01:42:24 07/20/21 - 01:42:24 07/20/21,01:42:26,  Traffic complaint.,N TRIPHAMMER RD; TRIPHAMMER MARKETPLACE; V LANSING ITHACA NY 14850,42.5054774,-76.490818,2021-07-20 01:42:24,2021-07-20 01:42:24,Traffic Complaint,7,1,01:42:24,6144
66,Traffic Cmplnt,01:42:24 07/20/21 - 01:42:24 07/20/21,01:42:26,  Traffic complaint.,N TRIPHAMMER RD; TRIPHAMMER MARKETPLACE; V LANSING ITHACA NY 14850,42.5054774,-76.490818,2021-07-20 01:42:24,2021-07-20 01:42:24,Traffic Complaint,7,1,01:42:24,6144
67,Traffic Cmplnt,01:42:24 07/20/21 - 01:42:24 07/20/21,01:42:26,  Traffic complaint.,N TRIPHAMMER RD; TRIPHAMMER MARKETPLACE; V LANSING ITHACA NY 14850,42.5054774,-76.490818,2021-07-20 01:42:24,2021-07-20 01:42:24,Traffic Complaint,7,1,01:42:24,6144
68,Traffic Cmplnt,01:42:24 07/20/21 - 01:42:24 07/20/21,01:42:26,  Traffic complaint.,N TRIPHAMMER RD; TRIPHAMMER MARKETPLACE; V LANSING ITHACA NY 14850,42.5054774,-76.490818,2021-07-20 01:42:24,2021-07-20 01:42:24,Traffic Complaint,7,1,01:42:24,6144
69,Traffic Cmplnt,01:42:24 07/20/21 - 01:42:24 07/20/21,01:42:26,  Traffic complaint.,N TRIPHAMMER RD; TRIPHAMMER MARKETPLACE; V LANSING ITHACA NY 14850,42.5054774,-76.490818,2021-07-20 01:42:24,2021-07-20 01:42:24,Traffic Complaint,7,1,01:42:24,6144
70,Traffic Offense,00:47:21 07/20/21 - 00:47:21 07/20/21,00:47:21, ,SHAFFER RD; T NEWFIELD NEWFIELD NY 14867,42.319418,-76.564601,2021-07-20 00:47:21,2021-07-20 00:47:21,Traffic Offense,7,0,00:47:21,2841
71,Traffic offense.,00:41:53 07/20/21 - 01:01:46 07/20/21,00:41:53, ,VETERANS PL; MAPLEWOOD COMMUNITY CENTER; T ITHACA ITHACA NY 14850,42.4396442,-76.473585,2021-07-20 00:41:53,2021-07-20 01:01:46,Traffic Offense,7,0,00:41:53,2513
72,Traffic Offense,21:38:33 07/19/21 - 21:38:33 07/19/21,21:38:33,  Deputy conducted a traffic stop.,PERUVILLE RD & PERU RD; T GROTON GROTON NY 13073,42.5482062,-76.3616439,2021-07-19 21:38:33,2021-07-19 21:38:33,Traffic Offense,7,21,21:38:33,77913
73,Traffic Offense,17:20:14 07/19/21 - 17:20:14 07/19/21,17:20:14,  Traffic stop.,ENFIELD MAIN RD & MECKLENBURG RD; T ENFIELD ITHACA NY 14850,42.4509799,-76.6311308,2021-07-19 17:20:14,2021-07-19 17:20:14,Traffic Offense,7,17,17:20:14,62414
74,Traffic Cmplnt,15:06:00 07/19/21 - 15:08:46 07/19/21,15:06:00,  Traffic complaint.,MECKLENBURG RD & N VAN DORN RD; T ENFIELD ITHACA NY 14850,42.451756,-76.6057896,2021-07-19 15:06:00,2021-07-19 15:08:46,Traffic Complaint,7,15,15:06:00,54360
75,Traffic Offense,11:12:20 07/19/21 - 11:12:20 07/19/21,11:12:20,  Deputies conducted a stop and arrested the driver for a parole violation warrant.,ELMIRA RD; HOME DEPOT; C ITHACA ITHACA NY 14850,42.362536,-76.5957859,2021-07-19 11:12:20,2021-07-19 11:12:20,Traffic Offense,7,11,11:12:20,40340
76,Traffic Offense,08:52:41 07/19/21 - 08:52:41 07/19/21,08:52:41,  Deputies conducted a traffic stop.,WARREN RD & STATE ROUTE 13 S; V LANSING ITHACA NY 14850,42.4823694,-76.467225,2021-07-19 08:52:41,2021-07-19 08:52:41,Traffic Offense,7,8,08:52:41,31961
77,Traffic Offense,03:40:49 07/19/21 - 03:40:49 07/19/21,03:40:49,  Traffic stop.,BLOCK MCLEAN CORTLAND RD; T GROTON CORTLAND NY 13045,42.5701684,-76.2505416,2021-07-19 03:40:49,2021-07-19 03:40:49,Traffic Offense,7,3,03:40:49,13249
78,Traffic Offense,02:06:07 07/19/21 - 02:06:07 07/19/21,02:06:07,  Traffic offense.,ITHACA BEER DR; T ITHACA ITHACA NY 14850,42.415768,-76.5328173,2021-07-19 02:06:07,2021-07-19 02:06:07,Traffic Offense,7,2,02:06:07,7567
79,Traffic Cmplnt,19:04:28 07/18/21 - 19:05:34 07/18/21,19:04:28, ,BENJAMIN HILL HTS; T NEWFIELD NEWFIELD NY 14867,42.354254,-76.5867339,2021-07-18 19:04:28,2021-07-18 19:05:34,Traffic Complaint,7,19,19:04:28,68668
80,Traffic Cmplnt,12:55:30 07/18/21 - 12:55:30 07/18/21,12:55:30,  Tompkins County Sheriff's Office assisted Citizen with a traffic complaint.,STATE ROUTE 13; T DRYDEN ITHACA NY 14850,42.7118632,-76.0328474,2021-07-18 12:55:30,2021-07-18 12:55:30,Traffic Complaint,7,12,12:55:30,46530
81,Traffic Cmplnt,08:57:45 07/18/21 - 08:59:51 07/18/21,08:57:45,  Deputy responded to a traffic complaint.,STATE ROUTE 13 S & WARREN RD; V LANSING ITHACA NY 14850,42.4823694,-76.467225,2021-07-18 08:57:45,2021-07-18 08:59:51,Traffic Complaint,7,8,08:57:45,32265
82,Traffic Offense,22:43:16 07/17/21 - 22:43:16 07/17/21,22:43:16,  Deputy conducted a traffic stop and made an arrest.,CENTER ST & S ALBANY ST; C ITHACA ITHACA NY 14850,42.435589,-76.501525,2021-07-17 22:43:16,2021-07-17 22:43:16,Traffic Offense,7,22,22:43:16,81796
83,Traffic Offense,22:43:16 07/17/21 - 22:43:16 07/17/21,22:43:16,  Deputy conducted a traffic stop and made an arrest.,CENTER ST & S ALBANY ST; C ITHACA ITHACA NY 14850,42.435589,-76.501525,2021-07-17 22:43:16,2021-07-17 22:43:16,Traffic Offense,7,22,22:43:16,81796
84,Traffic Cmplnt,22:29:52 07/17/21 - 22:30:59 07/17/21,22:29:52,  Traffic complaint.,DANBY RD; T ITHACA ITHACA NY 14850,42.3587467,-76.4833869,2021-07-17 22:29:52,2021-07-17 22:30:59,Traffic Complaint,7,22,22:29:52,80992
85,Traffic Offense,22:45:33 07/16/21 - 22:45:33 07/16/21,22:45:33,  Deputy conducted a traffic stop.,WARREN RD & DART DR; V LANSING ITHACA NY 14850,42.4834027,-76.4673571,2021-07-16 22:45:33,2021-07-16 22:45:33,Traffic Offense,7,22,22:45:33,81933
86,Traffic Offense,22:05:16 07/16/21 - 22:05:16 07/16/21,22:05:16,  Traffic stop.,TAUGHANNOCK PARK RD & TRUMANSBURG RD; T ULYSSES TRUMANSBURG NY 14886,42.5302189,-76.63724100000002,2021-07-16 22:05:16,2021-07-16 22:05:16,Traffic Offense,7,22,22:05:16,79516
87,Traffic Offense,21:37:37 07/16/21 - 21:37:37 07/16/21,21:37:37,  Traffic stop.,TRUMANSBURG RD & COLD SPRINGS RD; T ULYSSES TRUMANSBURG NY 14886,42.514629,-76.6222109,2021-07-16 21:37:37,2021-07-16 21:37:37,Traffic Offense,7,21,21:37:37,77857
88,Traffic Cmplnt,21:37:17 07/16/21 - 21:37:17 07/16/21,21:37:17,  Traffic complaint.,WARREN RD & STATE ROUTE 13 S; V LANSING ITHACA NY 14850,42.4823694,-76.467225,2021-07-16 21:37:17,2021-07-16 21:37:17,Traffic Complaint,7,21,21:37:17,77837
89,Traffic Offense,21:26:18 07/16/21 - 21:26:18 07/16/21,21:26:18,  Traffic stop.,TRUMANSBURG RD; TBURG SHUR SAVE; T ULYSSES TRUMANSBURG NY 14886,42.5096882,-76.6163073,2021-07-16 21:26:18,2021-07-16 21:26:18,Traffic Offense,7,21,21:26:18,77178
